dense,embed_size,filter,kernel,layers,pool,accuracy,loss
256.0,32.0,128.0,19.0,2.0,6.0,0.6426953077316284,1.0933418026566506
64.0,64.0,64.0,11.0,3.0,2.0,0.6275195479393005,1.1936868321150542
64.0,64.0,64.0,11.0,3.0,2.0,0.6210351586341858,1.1467071088403464
256.0,64.0,16.0,11.0,2.0,4.0,0.5662597417831421,1.381908604055643
16.0,32.0,64.0,3.0,1.0,6.0,0.5239453315734863,1.5039652556180954
256.0,16.0,64.0,27.0,1.0,6.0,0.5852246284484863,1.376103659644723
16.0,48.0,128.0,11.0,3.0,4.0,0.6290527582168579,1.1718821448087693
256.0,16.0,16.0,19.0,3.0,2.0,0.5403711199760437,1.4892087435722352
16.0,48.0,64.0,19.0,1.0,2.0,0.5367480516433716,1.455197093039751
64.0,32.0,64.0,3.0,2.0,2.0,0.5517675876617432,1.4496513150632382
16.0,16.0,32.0,35.0,1.0,4.0,0.5082812309265137,1.5029389156401158
16.0,32.0,32.0,11.0,1.0,8.0,0.5267871022224426,1.500987061560154
16.0,64.0,32.0,35.0,2.0,6.0,0.595996081829071,1.2801942886412143
16.0,48.0,64.0,35.0,1.0,8.0,0.5892968773841858,1.3833366332948207
64.0,64.0,64.0,11.0,2.0,8.0,0.6150586009025574,1.1533822353929282
128.0,64.0,128.0,19.0,2.0,4.0,0.6431445479393005,1.0621387447416781
128.0,16.0,32.0,35.0,1.0,6.0,0.5553515553474426,1.4425310470163821
16.0,48.0,32.0,19.0,2.0,8.0,0.5961718559265137,1.2803047249466182
128.0,64.0,128.0,27.0,2.0,4.0,0.6475878953933716,1.0592382732778787
128.0,64.0,128.0,27.0,2.0,4.0,0.6480566263198853,1.0642783065140247
128.0,64.0,128.0,27.0,2.0,4.0,0.6423633098602295,1.0509432078897953
128.0,64.0,128.0,27.0,2.0,4.0,0.643847644329071,1.046599742397666
128.0,64.0,128.0,27.0,2.0,4.0,0.647705078125,1.0678610061854124
128.0,64.0,128.0,27.0,2.0,4.0,0.6494726538658142,1.0586099771410227
128.0,64.0,128.0,27.0,2.0,4.0,0.6476171612739563,1.065696869418025
128.0,64.0,128.0,27.0,2.0,4.0,0.6445605754852295,1.0708757197856904
32.0,64.0,128.0,27.0,2.0,4.0,0.6372656226158142,1.1027141657471657
128.0,64.0,128.0,27.0,2.0,4.0,0.6528710722923279,1.0729790565371513
128.0,64.0,128.0,3.0,2.0,2.0,0.5943945050239563,1.3134066888689995
256.0,64.0,128.0,27.0,2.0,4.0,0.6521679759025574,1.0659501380473375
128.0,32.0,16.0,27.0,2.0,4.0,0.5551171898841858,1.4522144663333894
32.0,64.0,128.0,3.0,2.0,6.0,0.6039355397224426,1.2262053294479847
256.0,64.0,128.0,27.0,2.0,4.0,0.6408007740974426,1.0628741648048163
128.0,32.0,128.0,27.0,2.0,2.0,0.63232421875,1.1323265880346298
64.0,16.0,16.0,11.0,3.0,4.0,0.5195996165275574,1.5271613083779811
256.0,64.0,128.0,3.0,1.0,2.0,0.5624706745147705,1.3866027328372001
32.0,32.0,128.0,27.0,2.0,4.0,0.6299414038658142,1.10259248547256
64.0,16.0,16.0,11.0,2.0,8.0,0.5530468821525574,1.4788166365027429
128.0,48.0,64.0,3.0,1.0,4.0,0.5485644340515137,1.4172316551208497
256.0,64.0,128.0,19.0,2.0,2.0,0.6447949409484863,1.0883541176468134
128.0,32.0,64.0,27.0,1.0,4.0,0.5984960794448853,1.3408701495826245
64.0,16.0,128.0,27.0,2.0,6.0,0.6273242235183716,1.1237944097071886
16.0,48.0,16.0,19.0,2.0,4.0,0.5332617163658142,1.4609848864376545
128.0,64.0,64.0,3.0,1.0,2.0,0.5494335889816284,1.4209024691581726
128.0,48.0,128.0,27.0,2.0,4.0,0.6425487995147705,1.073455620408058
16.0,16.0,128.0,11.0,2.0,6.0,0.6118945479393005,1.2323088371008635
32.0,64.0,64.0,19.0,1.0,4.0,0.5937206745147705,1.3591856464743615
64.0,64.0,16.0,35.0,2.0,4.0,0.5815331935882568,1.3756102432310582
128.0,48.0,128.0,27.0,2.0,2.0,0.6367089748382568,1.0990038637816906
16.0,32.0,128.0,27.0,1.0,4.0,0.5785058736801147,1.3677104863524436
128.0,16.0,64.0,11.0,2.0,6.0,0.6088964939117432,1.268873107433319
128.0,64.0,128.0,19.0,3.0,4.0,0.6588379144668579,1.0388369110226632
